association,country,name,type,tier,cup_rank,gender,age_group,status,notes,logo_filename
AFC,South Korea,Korean Super Cup,cup,,Super Cup,Men,Senior,,,korea_republic_korean_super_cup.png
AFC,Kuwait,Super Cup,cup,,Super Cup,Men,Senior,,,kuwait_super_cup.png
AFC,Kyrgyzstan,Superkubok,cup,,Super Cup,Men,Senior,,,kyrgyz_republic_superkubok.png
AFC,Lebanon,Super Cup,cup,,Super Cup,Men,Senior,,,lebanon_super_cup.png
AFC,Lebanon,Women's Super Cup,cup,,Super Cup,Women,Senior,,,lebanon_women_s_super_cup.png
AFC,Malaysia,Piala Sumbangsih,cup,,Super Cup,Men,Senior,,,malaysia_piala_sumbangsih.png
AFC,Maldives,Charity Shield,cup,,Super Cup,Men,Senior,,,maldives_charity_shield.png
AFC,Mongolia,MFF Super Cup,cup,,Super Cup,Men,Senior,,,mongolia_mff_super_cup.png
AFC,Myanmar,MFF Charity Cup,cup,,Super Cup,Men,Senior,,,myanmar_mff_charity_cup.png
AFC,Oman,Oman Super Cup,cup,,Super Cup,Men,Senior,,,oman_oman_super_cup.png
AFC,Qatar,Sheikh Jassem Cup,cup,,Super Cup,Men,Senior,,,qatar_sheikh_jassem_cup.png
AFC,Réunion,Trophée des Champions LRF,cup,,Super Cup,Men,Senior,,,reunion_trophee_des_champions_lrf.png
AFC,Saudi Arabia,Saudi Super Cup,cup,,Super Cup,Men,Senior,,,saudi_arabia_saudi_super_cup.png
AFC,Saudi Arabia,Saudi Women's Super Cup,super_cup,,Super Cup,Women,Senior,,,saudi_arabia_saudi_women_s_super_cup.png
AFC,Singapore,Singapore Community Shield,cup,,Super Cup,Men,Senior,,,singapore_singapore_community_shield.png
AFC,Tajikistan,Superçomi Toçikiston,cup,,Super Cup,Men,Senior,,,tajikistan_supercomi_tocikiston.png
AFC,Turkmenistan,Türkmenistanyň Naýbaşy Kubogy,cup,,Super Cup,Men,Senior,,,turkmenistan_turkmenistanyn_naybasy_kubogy.png
AFC,UAE,Super Cup,cup,,Super Cup,Men,Senior,,,united_arab_emirates_super_cup.png
AFC,Uzbekistan,O‘zbekiston Kubogi,cup,,Super Cup,Men,Senior,,,uzbekistan_ozbekiston_kubogi.png
AFC,Uzbekistan,Oʻzbekiston Ayollar Superkubogi,cup,,Super Cup,Women,Senior,,,uzbekistan_ozbekiston_ayollar_superkubogi.png
AFC,Afghanistan,Afghanistan Champions League,league,1st-tier,,Men,Senior,,,afghanistan_afghanistan_champions_league.png
AFC,Australia,A League,league,1st-tier,,Men,Senior,,,australia_a_league.png
AFC,Australia,NPL Northern NSW,league,2nd-tier,,Men,Senior,,,australia_npl_northern_nsw.png
AFC,Australia,NPL South Australia,league,2nd-tier,,Men,Senior,,,australia_npl_south_australia.png
AFC,Australia,NorZone Premier League,league,2nd-tier,,Men,Senior,,,australia_norzone_premier_league.png
AFC,Australia,NPL Capital Football,league,2nd-tier,,Men,Senior,,,australia_npl_capital_football.png
AFC,Australia,NPL New South Wales,league,2nd-tier,,Men,Senior,,,australia_npl_new_south_wales.png
AFC,Australia,NPL Tasmania,league,2nd-tier,,Men,Senior,,,australia_npl_tasmania.png
AFC,Australia,NPL Western Australia,league,2nd-tier,,Men,Senior,,,australia_npl_western_australia.png
AFC,Australia,Queensland NPL,league,2nd-tier,,Men,Senior,,,australia_queensland_npl.png
AFC,Australia,Victoria Premier League,league,2nd-tier,,Men,Senior,,,australia_victoria_premier_league.png
AFC,Australia,A-League Women,league,1st-tier,,Women,Senior,,,australia_a_league_women.png
AFC,Bahrain,Bahraini Premier League,league,1st-tier,,Men,Senior,,,bahrain_bahraini_premier_league.png
AFC,Bahrain,Second Division League,league,2nd-tier,,Men,Senior,,,bahrain_second_division_league.png
AFC,Bangladesh,Bangladesh Premier League,league,1st-tier,,Men,Senior,,,bangladesh_bangladesh_premier_league.png
AFC,Bangladesh,Championship League,league,2nd-tier,,Men,Senior,,,bangladesh_championship_league.png
AFC,Bhutan,National League,league,1st-tier,,Men,Senior,,,bhutan_national_league.png
AFC,Brunei,Brunei Super League,league,1st-tier,,Men,Senior,,,brunei_darussalam_brunei_super_league.png
AFC,Brunei,Brunei Premier League,league,1st-tier,,Men,Senior,defunct,,brunei_darussalam_brunei_premier_league.png
AFC,Cambodia,C-League,league,1st-tier,,Men,Senior,,,cambodia_c_league.png
AFC,Cambodia,Cambodian League 2,league,2nd-tier,,Men,Senior,,,cambodia_cambodian_league_2.png
AFC,China PR,Chinese Super League,league,1st-tier,,Men,Senior,,,china_pr_chinese_super_league.png
AFC,China PR,China League One,league,2nd-tier,,Men,Senior,,,china_pr_china_league_one.png
AFC,China PR,Women Super League,league,1st-tier,,Women,Senior,,,china_pr_women_super_league.png
AFC,Chinese Taipei,Taiwan Football Premier League,league,1st-tier,,Men,Senior,,,chinese_taipei_taiwan_football_premier_league.png
AFC,Chinese Taipei,City A-League,league,1st-tier,,Men,Senior,defunct,,chinese_taipei_city_a_league.png
AFC,Chinese Taipei,Taiwan Mulan Football League,league,1st-tier,,Women,Senior,,,chinese_taipei_taiwan_mulan_football_league.png
AFC,Ghana,Ghana Premier League,league,1st-tier,,Men,Senior,,,ghana_ghana_premier_league.png
AFC,Ghana,Division One,league,2nd-tier,,Men,Senior,,,ghana_division_one.png
AFC,Ghana,Women Premier League,league,1st-tier,,Women,Senior,,,ghana_women_premier_league.png
AFC,Guam,G-League,league,1st-tier,,Men,Senior,,,guam_g_league.png
AFC,Guinea,Ligue 1,league,1st-tier,,Men,Senior,,,guinea_ligue_1.png
AFC,Guinea,Ligue 2,league,2nd-tier,,Men,Senior,,,guinea_ligue_2.png
AFC,Guinea,Ligue 1 Féminine,league,,,Women,Senior,,,guinea_ligue_1_feminine.png
AFC,Hong Kong,Premier League,league,1st-tier,,Men,Senior,,,hong_kong_sar_premier_league.png
AFC,Hong Kong,1st Division,league,2nd-tier,,Men,Senior,,,hong_kong_sar_1st_division.png
AFC,Hong Kong,2nd Division,league,3rd-tier,,Men,Senior,,,hong_kong_sar_2nd_division.png
AFC,Hong Kong,3rd Division,league,4th-tier,,Men,Senior,,,hong_kong_sar_3rd_division.png
AFC,India,I-League,league,2nd-tier,,Men,Senior,,,india_i_league.png
AFC,India,I-League 2nd Division,league,3rd-tier,,Men,Senior,,,india_i_league_2nd_division.png
AFC,India,Indian Super League,league,1st-tier,,Men,Senior,,,india_indian_super_league.png
AFC,Indonesia,Liga 1,league,1st-tier,,Men,Senior,,,indonesia_liga_1.png
AFC,Indonesia,Liga 2,league,2nd-tier,,Men,Senior,,,indonesia_liga_2.png
AFC,Iran,Persian Gulf Pro League,league,1st-tier,,Men,Senior,,,ir_iran_persian_gulf_pro_league.png
AFC,Iran,Azadegan League,league,2nd-tier,,Men,Senior,,,ir_iran_azadegan_league.png
AFC,Iraq,Asia Cell Premier League,league,1st-tier,,Men,Senior,,,iraq_asia_cell_premier_league.png
AFC,Japan,J. League,league,1st-tier,,Men,Senior,,,japan_j_league.png
AFC,Japan,J2 League,league,2nd-tier,,Men,Senior,,,japan_j2_league.png
AFC,Japan,J3 League,league,3rd-tier,,Men,Senior,,,japan_j3_league.png
AFC,Japan,Japan Football League,league,4th-tier,,Men,Senior,,,japan_japan_football_league.png
AFC,Japan,WE League,league,1st-tier,,Women,Senior,,,japan_we_league.png
AFC,Japan,Nadeshiko League,league,2nd-tier,,Women,Senior,,,japan_nadeshiko_league.png
AFC,Jordan,Jordanian Pro League,league,1st-tier,,Men,Senior,,,jordan_jordanian_pro_league.png
AFC,Jordan,Jordan League Division 1,league,2nd-tier,,Men,Senior,,,jordan_jordan_league_division_1.png
AFC,Jordan,Jordan Women's Pro League,league,1st-tier,,Women,Senior,,,jordan_jordan_women_s_pro_league.png
AFC,South Korea,K League 1,league,1st-tier,,Men,Senior,,,korea_republic_k_league_1.png
AFC,South Korea,K League 2,league,2nd-tier,,Men,Senior,,,korea_republic_k_league_2.png
AFC,South Korea,K League 3,league,3rd-tier,,Men,Senior,,,korea_republic_k_league_3.png
AFC,South Korea,K League 4,league,4th-tier,,Men,Senior,,,korea_republic_k_league_4.png
AFC,Kuwait,Kuwaiti Premier League,league,1st-tier,,Men,Senior,,,kuwait_kuwaiti_premier_league.png
AFC,Kuwait,Kuwaiti First Division,league,2nd-tier,,Men,Senior,,,kuwait_kuwaiti_first_division.png
